url,header,description,keywords;
"https://www.cbsnews.com/news/border-patrol-investigates-another-potential-secret-facebook-group/,Border Patrol investigates another potential secret Facebook group,The Department of Homeland Security is already investigating another social media group that shared mocking images of migrants,""border patrol, immigration, facebook, u.s.-mexico border, customs and border protection""";
"https://www.cbsnews.com/news/alitalia-blackface-ad-italian-airline-apologizes-for-ad-featuring-actor-wearing-blackface-to-portray-barack-obama/,Alitalia apologizes for blackface Obama ad,""The Italian airline said it apologizes for the offense caused by the ad, after social media erupted with criticism"",""rome, blackface, airline, washington, alitalia, video, social media, barack obama""";
"https://www.cbsnews.com/news/authorities-identify-man-who-stabbed-3-people-at-virginia-plasma-center/,Suspect who stabbed 3 at Virginia plasma center identified,The 20-year-old man has been charged with three counts of malicious wounding in the attack at Octapharma Plasma,""stabbing, petersburg, virginia""";
"https://www.cbsnews.com/news/american-tourist-attacked-by-shark-in-the-bahamas-jordan-lindsey/,Another American tourist attacked by shark in Bahamas,""The unidentified Florida man was bitten while snorkeling off Nippers Beach, police say"",""island, Jordan Lindsey, the bahamas, shark attack, shark, tiger shark""";
"https://www.cbsnews.com/news/justice-department-signals-to-court-its-still-fighting-for-citizenship-question/,Justice Department signals to court it's still fighting for citizenship question,A federal judge had ordered the DOJ to explain the president's tweet and administration's position,""Donald Trump, president of the united states""";
"https://www.cbsnews.com/news/notre-dame-fire-update-big-donors-delay-fulfilling-pledges-to-rebuild-notre-dame/,French billionaires slow-walk donations to rebuild Notre Dame,""Even though their fortunes get bigger by the month, their pledges of more than $500 million are mostly still just promises"",""cathedral, fire, paris, Cathedrale Notre Dame de paris""";
"https://www.cbsnews.com/news/blue-bell-licker-lufkin-texas-police-identify-juvenile-who-licked-ice-cream-tub-in-viral-video-2019-07-05/,Police identify juvenile who licked ice cream tub in viral video,""Before she was identified as a juvenile, police said she faced up to 20 years in prison"",""licking, Blue Bell Creameries, lufkin, suspect, video, arrest, ice cream, viral video, lufkin texas, woman""";
"https://www.cbsnews.com/news/mackenzie-lueck-utah-state-student-body-recovered-today-2019-07-05/,Body of slain student Mackenzie Lueck recovered in Utah,The body was discovered in a canyon 85 miles north of Salt Lake City,""Mackenzie Lueck, missing, murder, utah, Ayoola Ajayi""";
"https://www.cbsnews.com/news/jay-zs-roc-nation-sues-licensing-company-in-nyc-for-fraud/,Jay-Z's businesses sue licensing company for fraud,The lawsuit alleges Iconix Brand Group lied about its finances when it made deals with the musician's Roc Nation,""jay z, lawsuit, Music, roc nation, Iconix, new york""";
"https://www.cbsnews.com/news/tedy-bruschi-former-new-england-patriots-star-recovering-after-suffering-stroke-2019-07-05/,Former Patriots star recovering after suffering stroke,""""""Tedy and his family thank you for your ongoing encouragement, and kindly ask for privacy at this time,"""" his charity said"",""Tedy Bruschi, boston, football, transient ischemic attack, new england patriots, stroke""";
